smiles,Egc,Egb,Eib,Ei,Eea,nc,ne,TSb,TSy,YM,permCH4,permCO2,permH2,permO2,permN2,permHe,Eat,LOI,Xc,Xe,Cp,Td,Tg,Tm
[*]CC(=O)C1(C)CC(c2cccc(-c3ccc(N=CCCCC=Nc4ccc(N5C(=O)c6ccc(O[*])cc6C5=O)cc4)cc3)c2)CC(C)(C)C1,3.2342408,2.8315513,3.3364446,5.609275,2.2072685,1.9204133,1.6263539,88.64909,79.23843,2068.0015,1.2231112,17.269613,31.793083,4.3264194,0.9459746,26.892366,-6.1277566,29.262392,32.68805,32.635933,1.2467376,686.2063,480.85806,589.1408
[*]Cc1sc(C=[*])c2c1OCC(c1cccc(P(=O)(c3ccccc3)c3cccc(-c4ccc5c(c4)C(=O)N(c4cccc(N6C(=O)c7ccc(-c8ccc(Cl)cc8)cc7C6=O)n4)C5=O)c3)c1)O2,2.9368675,2.6864257,3.1834564,5.598799,2.3337145,1.9504284,1.6366208,82.828995,57.99581,2205.0322,0.38357365,8.920151,20.92144,2.2063963,0.38655496,19.305351,-6.036974,34.21137,40.26542,38.5741,1.253795,747.22485,517.4262,623.6663
[*]Nc1ccc(-c2ccc(-c3ccc(-c4ccc(C5CC(=O)N(c6ccc([*])cc6)C5=O)c(C)c4)c(C)c3)cc2C)cc1,3.5786557,3.1794882,3.5272746,5.7658973,2.218209,1.8984466,1.5975482,92.42385,70.2956,1865.2471,1.0475149,15.7262535,32.192863,4.1602464,0.90932035,26.613644,-6.138393,30.677326,40.657467,35.41647,1.2165222,736.90607,513.9713,635.81964
[*]CN(Cc1cc(N2C(=O)c3ccc([*])cc3C2=O)cc(-c2cccc(C3OCC(C)(C)CO3)c2)c1O)c1ccccc1,3.6053045,3.2749023,3.4694455,5.8182583,1.9888211,1.8380924,1.5854111,81.993286,75.865616,1989.3688,1.0923355,11.324689,22.697092,2.9827552,0.98644984,19.9104,-6.0629725,29.621288,35.844463,33.355194,1.1935245,703.2612,485.1575,620.6142
[*]c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(C(C)(C)c4ccc(-c5ccc(S(=O)(=O)c6ccc(-c7cc(C)c([*])c(C)c7)cc6)cc5)cc4)cc3)cc1)C2=O,3.595007,3.201719,3.442418,5.9941745,2.4062536,1.9668577,1.6479241,69.42373,67.17055,1953.0232,0.54817414,9.457478,20.732481,2.7921968,0.59006274,18.694351,-6.070109,32.748135,45.016315,39.69731,1.2482097,759.8555,548.7079,624.6542
[*]c1ccc(-c2nc3ccccc3n2-c2ccc(C=Nc3ccc(C(=O)c4ccc(N=Cc5ccc(-c6nc7ccccc7n6-c6ccc7[nH]c([*])nc7c6)cc5)cc4)cc3)cc2)cc1,3.4408593,3.1879983,3.4470062,5.734924,2.2894375,2.071324,1.6785457,68.44756,61.5361,1994.2745,0.9986032,9.1790085,20.60843,2.2095566,0.7112814,19.103012,-6.123576,30.906288,35.838478,34.43621,1.233765,739.81354,527.96216,620.0124
[*]c1ccc2c(c1)C(=O)N(Cc1ccc(-c3c(C)cc(-n4c5ccccc5c5ccccc54)cc3C)cc1-c1ccc3c(c1)C(=O)N([*])C3=O)C2=O,3.1532762,2.9024096,3.2461705,5.725637,2.2754345,1.8750657,1.6023523,85.20242,67.74537,1755.4376,0.46689773,10.431575,24.99318,2.392921,0.52212036,22.964413,-6.098687,29.328766,32.058388,31.858624,1.2309291,750.5057,530.9647,608.865
[*]c1cccc(P(=O)(c2ccccc2)c2cccc(-c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5ccc6c(c5)C(=O)N(c5cc(C)c(-c7cccc(P(=O)(c8ccccc8)c8cccc([*])c8)c7)c(C)c5)C6=O)cc3C)C4=O)c2)c1,3.6800222,3.4044607,3.4812531,5.9054556,2.2311966,1.9597563,1.6343132,79.31371,57.63422,2058.952,0.7427732,12.474186,29.398989,3.5345874,0.66989994,25.002686,-6.0576887,32.805225,39.134056,37.881863,1.244218,752.3268,517.7953,596.9407
[*]N=Nc1ccc(C=Cc2ccc3c(c2)C(=O)N(c2ccccc2-c2ccc(N=N[*])cc2)C3=O)cc1,2.834934,2.5659854,3.0478048,5.534117,2.3192856,2.019132,1.6802014,90.0257,76.493614,2328.7058,0.602829,15.499355,30.949848,3.275159,0.72803354,28.583338,-6.0506377,32.836063,42.915672,38.385925,1.2592106,699.5044,525.33997,626.7512
[*]CCCc1ccc2c(c1)C(=O)N(c1ccc3c(c1)C(=O)N(c1ccc(-c4cccc(OCC[*])c4)c4ccccc14)C3=O)C2=O,2.953404,2.5939705,3.2747343,5.6054153,2.3919477,1.928138,1.6385292,99.56788,72.020325,2103.0242,0.38540244,9.73733,24.755795,2.1868799,0.425668,22.961952,-6.020232,31.880032,42.408257,38.449837,1.2647109,756.0233,513.699,630.57434
[*]c1ccc2c(c1)C(=O)N(c1ccc3[nH]c(Oc4cccc(-c5nc([*])nc(C(F)(F)C(F)(F)C(F)(F)F)n5)c4)nc3c1)C2=O,3.352918,2.9845722,3.255798,5.781346,2.2866569,1.9487615,1.6339123,101.944756,77.72012,2247.1304,0.9259292,12.272467,26.173626,3.4512005,0.8442056,26.325022,-5.9319625,35.584126,40.14403,39.12041,1.2764912,731.1614,504.05853,597.19354
[*]C(=O)c1ccc(-n2c3ccccc3c3cc(-c4ccc(-c5ccc(-c6ccccc6C([*])=O)cc5C)c(C)c4)ccc32)cc1C,3.340146,2.9385402,3.2866416,5.716264,2.1168766,1.9454079,1.6325612,95.54475,78.04776,2096.9116,0.76654005,9.893831,20.565407,2.7367177,0.78047955,20.504818,-6.103565,29.571493,37.67294,34.73087,1.2272367,760.2142,518.0027,613.1618
[*]c1ccc(-c2ccc3c(c2)C(=O)N(Oc2ccc(-c4nc5ccccc5nc4[*])cc2)C3)c(-c2ccc3c(c2)C(=O)N(OCC(=O)O)C3)c1,3.3191543,2.9703398,3.3413198,5.6828804,2.2556076,2.0065079,1.675913,83.57891,76.38016,1752.346,0.51356626,6.68169,16.843933,1.911649,0.4444945,19.061924,-6.052906,30.104942,36.650513,35.337578,1.2509743,688.087,522.3394,596.6697
[*]c1ccc2c(c1)C1c3ccc(C4OC(c5ccc6c(c5)C(=O)N(c5ccc7c(c5)C(=O)N([*])C7=O)C6=O)C(Oc5ccc(N=Nc6ccc([N+](=O)[O-])cc6)cc5)C(O)C4O)cc3C2c2cc3ccccc3cc21,2.728042,2.5104494,3.0683157,5.5049825,2.3870275,1.9790264,1.6569316,98.96904,71.87079,2044.3539,0.39419544,9.727485,21.40258,2.3463402,0.49607432,19.259266,-5.98979,34.702007,41.411354,39.289917,1.2831606,670.85187,522.2331,573.76276
[*]c1ccc2c(c1)C(=O)N(C1C(C)(C)C(Oc3ccc(S(=O)(=O)c4ccc(-c5ccc(S(=O)(=O)c6ccc(-c7ccc([*])s7)cc6)cc5)cc4)cc3)C1(C)C)C2=O,3.479359,3.0451243,3.3719049,6.0127234,2.5634854,2.0035586,1.6648206,77.04795,66.91316,1982.3894,0.6669159,12.018425,23.817184,3.0895977,0.7332803,21.415812,-6.0744634,32.759,43.186043,38.3772,1.2546327,682.7912,502.0164,582.25433
[*]c1ccc(-c2cccc3c2C(=O)N(c2cccc(-c4cccc5cccc(Sc6cccc7c6C(=O)N([*])C7=O)c45)c2)C3=O)cc1,3.4651463,3.239993,3.4728866,5.9676447,2.5313618,2.045691,1.6701684,95.293045,67.86134,1892.3799,0.31151175,6.6917105,19.37998,1.5902562,0.37694716,18.184675,-6.149336,29.857706,32.69165,32.257423,1.181862,743.34235,558.4191,619.9025
[*]c1ccc2c(c1)C(=O)N(c1ccc(C)c(-c3cc(C4(c5ccc(-c6ccc7c(c6)C(=O)N([*])C7=O)cc5)CC5CCC4C5)ccc3C)c1)C2=O,3.196402,2.9075873,3.2956898,5.6677523,2.2374892,1.871232,1.6034629,98.13617,70.78896,2123.15,0.51617825,11.129496,28.174625,2.5575438,0.5053992,25.129692,-6.0173764,31.807756,40.152596,36.92239,1.2563688,778.75836,555.00195,635.9407
[*]c1ccc(-c2cccc(-c3ccc(C=Nc4ccc(-c5ccc(N=Cc6ccc(-c7ccc(-n8nc([*])c9ccccc9c8=O)cc7)cc6)cc5)cc4)cc3)c2)cc1,3.2895048,2.9346397,3.3872714,5.617454,2.3438249,2.0371943,1.6624992,88.227905,68.17266,2092.7788,0.98320615,9.27042,21.67052,2.8729513,0.7171941,18.797766,-6.1485596,30.100922,34.54557,32.704456,1.1893405,748.76306,514.2023,608.6757
[*]CCCc1ccc(-c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(NC(=O)CC[*])c(C)c3)C4=O)cc2C)cc1C,3.5382082,3.1534426,3.3799784,5.783999,2.099046,1.8685957,1.6005051,86.89501,68.0118,1764.8141,0.39513326,6.5373445,17.706285,1.5130129,0.37615263,16.19978,-6.1017556,28.830912,36.84746,33.473705,1.2536131,706.9662,513.4044,624.5788
[*]c1ccc(N2C(=O)c3ccc(-c4ccc(C5(C)CC(C)(C)c6ccc(-c7cccc(-c8ccc(C9(C)CC(C)(C)c%10ccc(-c%11ccc%12c(c%11)C(=O)N([*])C%12=O)cc%109)cc8)c7)cc65)cc4)cc3C2=O)s1,3.2508616,3.0109003,3.2394764,5.7150693,2.1121883,1.9549326,1.6385716,97.973625,78.74201,2240.833,1.2655635,14.757834,29.73398,3.3329177,0.99379194,26.32661,-6.0863833,29.088465,34.177006,34.759777,1.2678231,767.31647,515.39,604.13666
[*]c1c(C)cc(N2C(=O)c3ccc(-c4cc5ccccc5cc4-c4ccc(C)c(-c5ccc6c(c5)C(=O)N(c5ccc(S([*])(=O)=O)cc5)C6=O)c4)cc3C2=O)cc1C,3.1788428,2.8720193,3.1707258,5.7467136,2.3887532,1.9107395,1.6182275,82.19105,59.28957,1798.699,0.36464548,7.540477,21.292137,1.5813487,0.4056549,19.328423,-6.058856,31.192719,37.16393,35.258003,1.2226762,779.34467,535.57153,607.22186
[*]Nc1ccc(Cc2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(N=Nc5ccc([N+](=O)[O-])cc5)c(-c5ccc(N[*])cc5)c4)cc2C)C3=O)cc1,2.975327,2.7046804,3.1690326,5.6374598,2.4457128,1.9162651,1.6168393,99.04321,77.884476,2188.8848,0.5467901,10.807925,26.429026,2.9578679,0.61636126,22.53347,-6.1131687,30.009535,35.693077,34.187805,1.231457,763.98395,526.8307,609.23395
[*]Oc1ccc(S(=O)(=O)c2ccc(-c3cc(-c4cc(-c5ccc(C=Nc6ccc(-c7ccc8c(c7)C(=O)N([*])C8=O)cc6)cc5)c(Cl)cc4Cl)c(Cl)cc3Cl)cc2)cc1,3.2262888,2.858169,3.3526897,5.7065816,2.4069166,1.9542339,1.6314958,74.07659,61.122635,1765.3119,0.5235561,8.0085535,17.83376,2.5151935,0.5823139,15.522877,-6.074573,34.476856,43.03402,38.40355,1.2084174,767.8855,556.5117,642.5312
[*]c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(Nc4ccc(-c5c(C)cc(-c6cc(C)c([*])c(C)c6)cc5C)cc4C)cc3)cc1)C2=O,3.722708,3.3832164,3.5292354,5.950944,2.2818577,1.9263843,1.6232028,87.41451,73.60043,2130.8865,0.7039796,12.50311,28.65441,3.3977685,0.71495414,26.15872,-6.0602455,31.223385,42.45576,39.369057,1.2723799,752.56323,556.171,621.73065
[*]c1ccc(C(=O)c2ccc(-c3ccc([Si](C)(C)c4ccc(C5CC5c5ccc(S([*])(=O)=O)cc5)cc4)cc3)cc2)cc1,3.6305547,3.2390163,3.4571776,5.9948487,2.4514098,1.9966755,1.6562366,72.35771,68.72698,2049.6887,1.2421255,11.829933,22.294361,3.1438303,0.9404788,20.539228,-6.1564336,30.833298,34.169453,34.050106,1.1972766,728.3707,486.88358,583.2702
[*]CC([*])C(=O)N1C(=O)c2cccc(-c3cc(C)c(-c4cccc5c4C(=O)N(c4cccc(-c6ccccc6)c4)C5=O)c(C)c3)c2C1=O,3.5259173,3.011848,3.3452666,6.0599504,2.4948592,1.896933,1.5989232,87.05068,59.959007,1864.803,0.8420751,14.093426,33.92912,3.6298742,0.7752037,28.972416,-6.0469146,30.991573,39.28428,38.77968,1.2759258,720.19824,554.5269,614.6808
[*]Oc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cccc6c(O[*])cccc56)cc4)cc3)c(C)c2)c(C)c1,3.576039,3.2497015,3.5477946,5.6080637,2.032585,1.9234918,1.615512,78.36988,66.80818,2073.9497,0.6537596,6.9542785,17.622057,1.7835257,0.55106056,17.270947,-6.031958,28.042505,38.84042,36.839893,1.2868099,758.1658,477.1796,582.3369
[*]c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc4c(c3)C(=O)N([*])C4=O)c(N3C(=O)c4ccc(-c5ccc(-c6c([2H])c([2H])c([2H])c([2H])c6[2H])cc5)cc4C3=O)c1)C2=O,3.109265,2.6958802,3.1089523,5.857283,2.5511644,1.9641149,1.6452749,95.77485,77.74854,2164.9797,0.54371727,13.86653,32.87305,3.078115,0.6337383,31.128788,-6.0346828,33.596245,41.294277,39.192497,1.2837247,734.5618,553.6276,632.4585
[*]NC(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc([Si](C)(C)c4ccc(-c5ccc([N+](=O)[O-])cc5)cc4)cc3)cc1-c1ccc([*])cc1)C2=O,2.9502664,2.5917532,3.187136,5.630267,2.518058,1.9946702,1.668106,96.62448,80.30482,2138.0186,0.7033,11.992932,24.398527,3.3047442,0.7259439,22.261456,-6.1345687,30.013964,36.165043,33.612667,1.1863772,715.4266,539.7744,647.2774
[*]c1ccc(-c2ccc(-n3c4ccccc4c4cc(-c5ccc6c(c5)c5ccccc5n6-c5ccc(-c6ccc7c(c6)C(=O)N([*])C7=O)cc5C)ccc43)c(C)c2)cc1,3.2489264,3.0156596,3.3441803,5.6483164,2.1814227,1.9069088,1.6062775,79.430565,61.501663,1717.1691,1.1785343,16.157309,33.59259,4.201969,1.1050904,28.530691,-6.143948,29.982397,33.914127,33.11953,1.2033476,772.681,542.0753,625.21747
[*]c1ccc2c(c1)C(=O)N(c1cc(C(C)(CCC#N)N3C(=O)c4ccc([*])cc4C3=O)ccc1-c1ccc(CCCCCC)cc1C)C2=O,3.1214416,2.732636,3.2058008,5.703634,2.252232,1.9074761,1.6226616,91.93284,77.10561,1735.0822,0.3023486,6.2758255,17.49872,1.7160876,0.34631252,16.587557,-6.033948,30.560995,38.871784,37.894848,1.2675476,723.5523,473.82642,588.7975
[*]c1ccc(-c2cc(-c3cccc4ccccc34)ccc2-c2cc(C)c(-c3ccc4c(c3)C(=O)N(c3ccc5c(c3)C(=O)N([*])C5=O)C4=O)c(C)c2)cc1,3.374897,3.2135882,3.312119,5.850363,2.2459478,1.9150442,1.6116527,83.37035,69.01494,1894.6146,0.49935317,10.4676285,27.710396,2.644445,0.5950128,26.01377,-6.0982356,32.16699,35.96386,34.614925,1.2396306,771.45514,551.40375,616.02716
[*]c1ccc(-c2cc(-c3c(C)cc(-c4c(C)cc(-c5cccc6ccccc56)cc4C)cc3C)ccc2N2C(=O)c3ccc([*])cc3C2=O)cc1,3.3575358,3.1702113,3.300714,5.869978,2.2947667,1.9040141,1.6094964,83.37648,73.196785,1954.9961,0.7087903,12.06874,32.987316,3.2351546,0.81241405,30.354515,-6.118107,33.61448,42.328747,37.298553,1.220481,785.27,532.8344,614.56323
[*]c1ccc(C2C(=O)N(c3nc4cc(-c5ccc(-c6cccc(Cl)c6Cl)c(-c6ccc([N+](=O)[O-])cc6)c5)ccc4o3)C(=O)C2[*])cc1,3.5408726,3.1441157,3.4723096,5.7627993,2.2092078,2.0364573,1.6772825,74.364784,67.93689,1883.7623,1.2821355,17.24364,32.801346,4.798934,1.1322827,27.27159,-6.0582986,31.97486,39.69495,36.10224,1.215115,726.69556,551.006,624.76154
[*]C(=O)CN1C(=O)c2ccc(-c3cccc(-c4cc(C)c(N5C(=O)c6ccc(-c7ccc(C=Nc8ccc([*])cc8)cc7)cc6C5=O)c(C)c4)c3)cc2C1=O,3.106765,2.722132,3.0507302,5.810725,2.460081,1.8966188,1.6015458,99.92255,74.94809,2067.107,0.53212476,8.919661,22.012909,2.118364,0.48090935,19.437601,-6.1132803,31.432255,35.72741,34.83103,1.2426349,762.83105,539.1885,619.7279
[*]CCCc1ccc2c(c1)C(=O)N(c1ccc(C)c(N3C(=O)c4ccc(-c5cc(OCC[*])ccc5C)cc4C3=O)c1)C2=O,3.2990324,2.9380383,3.2958043,5.6544175,2.0777042,1.9026626,1.6230139,102.037025,69.554214,2144.2114,0.37602663,7.2285423,18.804968,1.920939,0.47695804,17.92516,-5.99226,29.630283,42.721573,36.6521,1.264539,788.93646,520.4447,629.8438
[*]Nc1ccc(Cc2cc(C)c(-c3cc(-c4ccc(N=Nc5ccc([N+](=O)[O-])cc5C#N)cc4)cc(-c4cccc(S(=O)(=O)c5cccc([*])c5)c4)c3)c(C)c2)cc1,3.5394104,3.2247922,3.532455,5.889241,2.48209,2.0568457,1.6776994,84.328705,69.07434,1906.4456,0.9682385,11.374332,28.140802,3.4008303,0.8910636,23.331211,-6.080687,30.797733,33.433517,34.559746,1.2342175,725.797,509.5213,584.4754
[*]Nc1ccc(N(c2ccc3c(c2)C(=O)N(CC([*])C=C)C3=O)c2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1,3.1276102,2.7300134,3.2414384,5.6745896,2.3745034,1.9451215,1.6398565,86.16585,72.582466,1727.2039,0.35598075,8.844062,21.944279,2.0289826,0.37649894,19.42832,-6.1016355,29.913372,34.65625,32.642506,1.2192452,661.59644,533.5385,622.2559
[*]c1ccc2c(c1)C(=O)N(C1(N3C(=O)c4ccc(-c5cc([*])n(-c6ccc(OC)c(O)c6)n5)cc4C3=O)C3CC4CC(C3)CC1C4)C2=O,2.9851365,2.7324717,3.1879048,5.6564493,2.4342706,1.9950892,1.6691697,88.413864,69.63654,1827.2648,0.9211292,15.206799,31.021252,3.320488,0.8555784,27.383986,-6.104154,31.79701,34.507347,33.49614,1.2423394,734.45776,512.5353,587.0503
[*]Oc1ccc(C(=O)N2CCC(c3cccc4c3C(=O)c3cccc(-c5cc([*])[nH]n5)c3C4=O)CC2)cc1,3.5278523,3.2186513,3.3917181,5.904715,2.2244418,1.9247141,1.613917,86.78137,75.27195,1894.086,0.5526135,8.6472025,22.48419,2.0038962,0.6061795,21.91286,-6.0960317,29.703491,36.17569,33.976177,1.211743,718.4376,510.27954,580.1271
[*]CC([*])(C)C(=O)N1Cc2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4C)c(C)c3)cc2C1=O,3.372658,2.980572,3.261097,5.7471094,2.0882976,1.8852415,1.5971696,96.10157,73.710464,2166.197,0.89302933,10.338343,24.203632,2.8115504,0.9613178,21.831852,-6.0745225,30.050611,40.20766,36.17598,1.2582493,707.42267,509.3657,595.22406
[*]c1cccc(P(=O)(c2ccccc2)c2cccc(-c3nc(-c4ccc(S([*])(=O)=O)cc4)[nH]c3-c3ccccc3-c3cc4c(cc3Cl)C(=O)N(C(F)(F)F)C4=O)c2)c1,3.7348104,3.5144997,3.5089548,6.024348,2.3608932,2.019648,1.6578931,81.44789,63.97114,1865.3759,0.47796845,9.461913,23.4716,2.521021,0.5112324,22.235182,-6.044719,33.467434,35.06397,35.87493,1.2239915,751.7349,530.8199,602.8748
[*]Oc1c(C)cc(-c2ccc3c(c2)C(=O)N(c2ccc(C=Nc4ccc(-c5ccc(N=Cc6ccc(-c7ccc8c(c7)C(=O)N([*])C8=O)cc6)cc5)cc4)cc2)C3=O)cc1C,3.0164003,2.6127095,3.1042616,5.6916046,2.409926,1.8797276,1.5938627,97.088684,65.94058,1833.4763,0.53494513,10.295485,24.553082,2.860631,0.55258036,20.668907,-6.077454,30.543825,38.290394,35.560276,1.2421283,727.96216,532.7706,608.08875
[*]N1C(=O)c2ccc(-c3ccc(-c4ccc(OC)cc4)c(C4CC(C)(C)CC(C)(c5ccc6c(c5)C(=O)N([*])C6=O)C4)c3)cc2C1=O,3.0097938,2.650842,3.0636604,5.749205,2.4828517,1.8868383,1.6051561,94.47402,77.76057,2040.1603,0.8952807,12.28778,25.220947,3.2669291,0.77698386,22.369576,-6.132042,29.091131,32.26926,32.07658,1.2262121,758.9663,536.50244,616.95337
[*]CC(=O)c1ccc(-c2ccc(C(=Nc3ccccc3)c3ccc(-c4ccc5c(c4)C(=O)N(C(=O)O[*])C5=O)cc3)cc2)cc1,2.9029214,2.49695,3.137385,5.515684,2.2643135,1.9369869,1.644049,89.36958,67.219376,2343.1936,0.4286132,7.6187754,17.593163,1.9998999,0.44074047,16.350811,-6.0849276,35.604347,45.71615,38.00347,1.207384,726.57306,506.03937,636.60333
[*]Oc1ccc(C=Nc2cccc3c(N=Cc4ccc(N5C(=O)c6ccc([*])cc6C5=O)c(OC)c4)cccc23)cc1C1CCC(C(F)(F)F)CC1,2.8659763,2.5819552,3.156662,5.4862924,2.3051634,1.9439523,1.6372976,93.819176,77.27343,2016.4308,0.7515094,12.756334,26.206652,3.38233,0.72809446,23.772184,-5.9971046,33.38933,41.73035,38.882816,1.2765229,679.862,497.3527,578.9734
[*]c1ccc(Oc2nc([*])c(C(=O)c3cc4c(cc3Cl)C(=O)N(c3ccccc3)C4=O)[nH]2)cc1,3.3420386,2.9495337,3.3584554,5.861244,2.484388,2.0387383,1.6712917,96.90265,74.49911,2263.02,0.5040735,7.749975,17.445705,2.0260494,0.44163442,17.419926,-6.135751,32.89457,35.530785,33.95286,1.2012467,741.0949,550.9578,625.2196
[*]c1cccc(C=Cc2cccc(-c3c(C)cc(-c4ccc(C5([*])c6ccccc6C(=O)N5C)cc4)cc3C)c2)c1,3.7161098,3.4029217,3.5211356,5.932799,2.3129046,1.997765,1.651212,89.777596,80.079185,2278.6345,0.95160425,13.117157,31.326359,3.6546078,0.96775746,28.735415,-6.112379,30.253277,33.980038,33.771755,1.2394829,767.3548,527.9529,606.3389
[*]Nc1ccc(-c2cc(C)c(-c3c(C)cc(-c4ccc(-c5ccc6c(c5)C(=O)N(c5cccc(P(=O)(c7ccccc7)c7cccc([*])c7)c5)C6=O)cc4)cc3C)c(C)c2)s1,3.5628471,3.257404,3.5071394,5.8119135,2.308043,2.0075736,1.6650994,91.00094,70.989265,2066.3506,0.82352626,14.911651,35.234356,3.6250515,0.7846428,30.051704,-6.0715213,33.21994,39.403797,38.514153,1.2629839,765.16547,547.4208,635.46075
[*]c1ccc2c(c1)C(=O)N(Cc1cccc(-c3ccc(C4(c5ccc(Oc6ccc7c(c6)C(=O)N([*])C7=O)cc5)c5ccccc5-c5ccccc54)cc3)c1)C2=O,3.0454772,2.7592072,3.1784494,5.654943,2.3226895,1.8651999,1.5933638,94.99886,67.67894,2132.0513,0.3448993,9.04661,21.934624,2.449604,0.405519,19.768528,-6.0274043,32.81572,41.177326,38.388,1.2746366,784.09845,556.7558,639.40247
